Rank,Metro,Mean Software Developer Salary (adjusted),Mean Software Developer Salary (unadjusted),Mean Unadjusted Salary (all occupations),Number of Software Developer Jobs,Median Home Price
70,"Charleston-North Charleston, SC",95609.00,91976.00,46200.00,2000.00,255100.00
71,"Kansas City, MO-KS",95308.00,88732.00,50200.00,12480.00,192900.00
72,"Tulsa, OK",95187.00,86049.00,46170.00,1770.00,138200.00
73,"Rochester, NY",94819.00,93112.00,50830.00,4950.00,146600.00
74,"Louisville/Jefferson County, KY-IN",94320.00,85737.00,45740.00,4950.00,162300.00
75,"Champaign-Urbana, IL",94139.00,87644.00,50630.00,1110.00,130700.00
76,"Albany-Schenectady-Troy, NY",94051.00,94615.00,54400.00,2980.00,217600.00
77,"Buffalo-Cheektowaga-Niagara Falls, NY",93735.00,88955.00,49420.00,3170.00,159300.00
78,"Little Rock-North Little Rock-Conway, AR",93194.00,84434.00,45020.00,1810.00,140600.00
79,"Boise City, ID",93112.00,87712.00,45470.00,2390.00,287300.00
80,"Trenton, NJ",92869.00,103642.00,63700.00,4520.00,240700.00
81,"Ann Arbor, MI",92683.00,94258.00,55130.00,2650.00,290500.00
82,"Harrisburg-Carlisle, PA",92213.00,89355.00,49540.00,2360.00,177300.00
83,"Akron, OH",92207.00,83355.00,48910.00,2590.00,141900.00
84,"Greenville-Anderson-Mauldin, SC",91794.00,82523.00,43960.00,1850.00,176800.00
85,"Jacksonville, FL",91568.00,87355.00,46920.00,4530.00,214100.00
86,"Lincoln, NE",91107.00,83363.00,46800.00,1570.00,185400.00
87,"Albuquerque, NM",91010.00,87097.00,46860.00,1770.00,199500.00
88,"Sioux Falls, SD",90870.00,83237.00,44850.00,1200.00,192000.00
89,"Green Bay, WI",90489.00,81531.00,45570.00,1150.00,174800.00
90,"Spokane-Spokane Valley, WA",90269.00,85575.00,49200.00,1120.00,243200.00
91,"Madison, WI",90238.00,87350.00,52890.00,8770.00,257700.00
92,"Memphis, TN-MS-AR",89921.00,81918.00,44610.00,1590.00,139900.00
93,"Portland-South Portland, ME",89511.00,91569.00,51260.00,1730.00,292300.00
94,"Cleveland-Elyria, OH",89040.00,80314.00,50470.00,8220.00,146500.00
95,"Columbia, SC",88334.00,81003.00,44680.00,1600.00,138800.00
96,"Miami-Fort Lauderdale-West Palm Beach, FL",88249.00,95662.00,48240.00,13740.00,283400.00
97,"Eugene, OR",85912.00,84021.00,47320.00,1220.00,293900.00
98,"Grand Rapids-Wyoming, MI",85788.00,79526.00,45670.00,2560.00,194100.00
99,"Lansing-East Lansing, MI",84596.00,77913.00,49320.00,2780.00,149400.00
100,"Urban Honolulu, HI",72811.00,90796.00,54870.00,1590.00,678200.00
